N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,토론
25,현대로템,"195,900","3,900",+2.03%,"236,615","45,879","195,200","195,300","213,919",
26,삼성화재,"459,000","5,000",+1.10%,"4,106","1,877","457,000","457,500","210,961",
27,SK스퀘어,"144,100",900,-0.62%,"13,179","1,909","143,900","144,200","191,389",
28,LG화학,"267,000","4,500",-1.66%,"42,684","11,415","267,000","267,500","188,482",
29,삼성중공업,"21,100",300,+1.44%,"3,256,021","68,789","21,150","21,200","185,460",
30,우리금융지주,"24,600",100,+0.41%,"78,482","1,928","24,500","24,550","182,306",
31,HD현대일렉트릭,"492,500","5,500",+1.13%,"18,042","8,935","492,000","492,500","177,532",
32,고려아연,"829,000","13,000",+1.59%,"2,860","2,363","828,000","829,000","166,193",
33,KT&G,"135,800","1,300",-0.95%,"11,603","1,581","135,700","136,000","165,639",
34,삼성SDI,"201,500","1,500",-0.74%,"148,713","29,910","202,000","202,500","162,380",
35,크래프톤,"332,500","1,500",+0.45%,"3,639","1,209","332,000","332,500","157,346",
36,SK이노베이션,"100,600",400,+0.40%,"20,822","2,089","100,400","100,700","151,790",
37,기업은행,"18,970",50,+0.26%,"48,957",928,"18,940","18,950","151,192",
38,SK,"206,000","1,000",-0.48%,"34,548","7,165","205,000","205,500","149,356",
39,현대글로비스,"188,500","2,800",+1.51%,"21,911","4,141","188,200","188,600","141,450",
40,KT,"52,200","1,100",-2.06%,"141,625","7,396","52,200","52,300","131,555",
41,삼성전기,"169,000","6,800",+4.19%,"265,416","44,383","169,200","169,300","126,307",
42,포스코퓨처엠,"137,500",900,-0.65%,"79,047","10,892","137,600","137,700","122,390",
43,하이브,"285,000",0,0.00%,"33,078","9,415","284,500","285,000","118,500",
44,LG,"75,300",200,+0.27%,"14,063","1,060","75,000","75,200","118,253",
45,LG전자,"72,500",300,+0.42%,"56,723","4,106","72,400","72,500","118,093",
46,삼양식품,"1,563,000","4,000",-0.26%,"5,599","8,714","1,562,000","1,563,000","117,741",
47,SK텔레콤,"54,800",0,0.00%,"126,334","6,947","54,800","54,900","117,705",
48,카카오뱅크,"24,300",350,+1.46%,"212,838","5,166","24,200","24,250","115,909",
49,효성중공업,"1,227,000","11,000",+0.90%,"7,092","8,729","1,229,000","1,230,000","114,412",
50,삼성에스디에스,"146,900",500,+0.34%,"14,021","2,073","146,500","146,800","113,668",
51,LIG넥스원,"502,000","9,000",+1.83%,"32,097","16,120","502,000","503,000","110,440",
52,HD현대,"136,100","1,200",-0.87%,"26,936","3,686","136,200","136,400","107,510",
53,미래에셋증권,"18,830",10,-0.05%,"285,708","5,385","18,790","18,810","107,391",
54,한화시스템,"53,900","2,800",+5.48%,"1,971,022","106,872","53,900","54,000","102,016",
55,DB손해보험,"138,300",600,+0.44%,"5,659",783,"138,100","138,300","97,987",
56,한국항공우주,"96,200","2,700",+2.89%,"243,888","23,484","95,800","96,000","93,771",
57,HD현대마린솔루션,"207,000","3,000",+1.47%,"9,097","1,871","207,000","207,500","93,021",
58,유한양행,"113,700","1,100",+0.98%,"58,429","6,621","113,700","113,800","90,924",
59,두산,"531,000","2,000",-0.38%,"15,440","8,298","530,000","531,000","87,576",
60,대한항공,"23,400",200,-0.85%,"231,568","5,434","23,400","23,450","86,164",
61,포스코인터내셔널,"48,150","1,000",+2.12%,"424,652","20,777","48,000","48,050","84,795",
62,에이피알,"224,000","1,500",-0.67%,"147,102","32,670","224,000","224,500","83,845",
63,LS ELECTRIC,"274,500",500,+0.18%,"33,693","9,366","274,500","275,000","82,350",
64,HD현대미포,"200,500","1,200",+0.60%,"81,104","16,291","200,500","201,000","80,084",
65,한미반도체,"82,700","1,200",+1.47%,"130,995","10,819","82,800","82,900","78,823",
66,SK바이오팜,"99,300","1,300",+1.33%,"26,905","2,646","99,300","99,400","77,765",
67,카카오페이,"57,400",800,-1.37%,"335,863","19,118","57,100","57,200","77,667",
68,코웨이,"101,900","3,000",-2.86%,"5,654",582,"101,700","101,900","73,203",
69,한진칼,"108,800","1,400",-1.27%,"5,081",555,"108,600","109,200","72,771",
70,한국금융지주,"128,000",500,-0.39%,"10,388","1,330","127,700","127,900","71,329",
71,아모레퍼시픽,"117,300",700,-0.59%,"48,805","5,714","117,300","117,500","68,641",
72,NH투자증권,"19,100",20,-0.10%,"39,933",764,"19,070","19,080","68,026",
73,S-Oil,"59,200",300,-0.50%,"25,563","1,505","59,000","59,100","66,536",
74,현대건설,"59,500","1,100",-1.82%,"196,243","11,770","59,500","59,700","66,257",
75,LG씨엔에스,"67,400","1,700",+2.59%,"183,425","12,342","67,600","67,700","65,398",
76,한화,"85,800",600,+0.70%,"149,935","12,900","85,700","85,900","64,315",
77,삼성증권,"67,800",200,-0.29%,"28,265","1,918","67,600","67,700","60,456",
78,삼성카드,"51,500",900,+1.78%,"7,945",406,"51,200","51,400","59,783",
79,LG유플러스,"13,730",710,-4.92%,"320,817","4,453","13,690","13,700","58,972",
80,LG디스플레이,"11,650",10,-0.09%,"210,051","2,460","11,650","11,670","58,250",
81,삼성E&A,"28,550",650,-2.23%,"155,665","4,478","28,550","28,600","55,958",
82,LS,"173,100","2,900",-1.65%,"29,593","5,161","173,300","173,400","55,770",
83,키움증권,"200,000",500,-0.25%,"6,231","1,250","199,800","199,900","52,351",
84,넷마블,"58,900",100,-0.17%,"12,310",722,"58,600","58,700","50,627",
85,두산밥캣,"52,600",300,+0.57%,"16,492",868,"52,600","52,700","50,516",
86,한국타이어앤테크놀로지,"40,100",250,-0.62%,"36,274","1,460","40,100","40,150","49,612",
87,한화솔루션,"27,900",400,+1.45%,"327,233","9,091","27,900","27,950","47,958",
88,이수페타시스,"64,700",0,0.00%,0,0,0,0,"47,789",
89,CJ,"162,200","1,100",+0.68%,"15,882","2,572","161,500","161,800","47,354",
90,BNK금융지주,"14,570",10,-0.07%,"29,224",424,"14,550","14,560","45,812",
91,JB금융지주,"23,800",150,+0.63%,"11,182",265,"23,700","23,800","45,502",
92,현대오토에버,"165,700","4,600",-2.70%,"33,654","5,689","165,200","165,400","45,442",
93,LG생활건강,"293,000",500,+0.17%,"5,003","1,464","292,500","293,000","44,836",
94,오리온,"107,200","1,000",-0.92%,"9,819","1,058","107,100","107,300","42,343",
95,현대제철,"31,500",250,-0.79%,"28,626",904,"31,450","31,500","42,035",
96,GS,"44,900",550,-1.21%,"17,689",796,"44,800","44,900","41,673",
97,엔씨소프트,"190,700","2,500",-1.29%,"17,412","3,325","190,600","191,000","41,041",
98,LG이노텍,"167,300","4,800",+2.95%,"35,170","5,845","167,100","167,200","39,619",
99,한미약품,"309,000","5,000",+1.64%,"15,355","4,723","308,500","309,000","39,586",
100,두산로보틱스,"60,800",600,-0.98%,"109,588","6,741","60,600","60,700","39,411",
101,강원랜드,"17,880",80,-0.45%,"42,877",766,"17,870","17,890","38,295",
102,한화엔진,"45,750",0,0.00%,0,0,0,0,"37,927",
103,SK바이오사이언스,"46,600",250,+0.54%,"16,917",788,"46,600","46,650","36,520",
104,한국가스공사,"39,150",100,+0.26%,"34,245","1,339","39,050","39,150","36,094",
105,KCC,"392,000","3,000",-0.76%,"1,661",655,"391,500","392,000","34,835",
106,CJ제일제당,"230,500","1,500",+0.66%,"8,646","1,981","230,000","230,500","34,700",
107,에코프로머티,"49,300",200,+0.41%,"119,969","5,906","49,250","49,300","34,442",
108,한전기술,"90,100",200,+0.22%,"85,598","7,755","89,900","90,000","34,398",
109,SKC,"90,400",300,+0.33%,"40,203","3,630","90,300","90,400","34,233",
110,포스코DX,"21,750",50,+0.23%,"82,795","1,805","21,750","21,800","33,068",
